university,startup_name,description,website,is_ai_related,ai_confidence_score,source
Stanford (StartX),1Bstories,,,False,0.0,StartX
Stanford (StartX),1Climate,,https://1climate.app/,False,0.0,StartX
Stanford (StartX),1upLogo,,,False,0.0,StartX
Stanford (StartX),2rblogo,,http://www.2redbeans.com/en/chinese-dating/,False,0.0,StartX
Stanford (StartX),3YOURMIND,,http://3yourmind.com/,False,0.0,StartX
Stanford (StartX),AccuraGen,,http://www.accuragen.com/,False,0.0,StartX
Stanford (StartX),Advent FA,,http://adventaccess.com,False,0.0,StartX
Stanford (StartX),AerialIntel,,http://www.aerialintel.com/,False,0.0,StartX
Stanford (StartX),aether,,https://www.aetherbiomedical.com,False,0.0,StartX
Stanford (StartX),afresh,,http://afreshtechnologies.com/,False,0.0,StartX
Stanford (StartX),Agathos,,https://www.agathos.io,False,0.0,StartX
Stanford (StartX),AgriWebb,,http://www.agriwebb.com/,False,0.0,StartX
Stanford (StartX),Logo 1,,,False,0.0,StartX
Stanford (StartX),AiFi,,http://www.aifi.com,False,0.0,StartX
Stanford (StartX),AKOYA Bio R,,http://www.akoyabio.com,False,0.0,StartX
Stanford (StartX),Alariss,,https://www.alariss.com/,False,0.0,StartX
Stanford (StartX),alation 01 5,,https://alation.com/,False,0.0,StartX
Stanford (StartX),Alchemy WorkInTech,,https://www.alchemynano.com,False,0.0,StartX
Stanford (StartX),DTL,,https://alchemy.com,False,0.0,StartX
Stanford (StartX),Sentinel RGB,,http://www.alertive.com,False,0.0,StartX
Stanford (StartX),Alesca Life,,https://www.alescalife.com/,False,0.0,StartX
Stanford (StartX),ALICE,,http://alicetechnologies.com/,False,0.0,StartX
Stanford (StartX),AC large,,https://www.alignedcarbon.com/,False,0.0,StartX
Stanford (StartX),Logo 04,,http://www.alixia.com,False,0.0,StartX
Stanford (StartX),Allday stacked,,https://sprayalldayenergy.com/,False,0.0,StartX
Stanford (StartX),Ambient,,http://ambient.ai/,False,0.0,StartX
Stanford (StartX),amigocloud,,https://www.amigocloud.com/homepage/index,False,0.0,StartX
Stanford (StartX),Ampervue,,http://www.ampervue.com,False,0.0,StartX
Stanford (StartX),LOGO 1MB,,,False,0.0,StartX
Stanford (StartX),anchorzero,,,False,0.0,StartX
Stanford (StartX),logo Andromeda Surgical 2,,http://andromedasurgical.com,False,0.0,StartX
Stanford (StartX),Angaza Thick,,http://www.angazadesign.com,False,0.0,StartX
Stanford (StartX),Logo,,http://www.anifie.com,False,0.0,StartX
Stanford (StartX),Text black,,,False,0.0,StartX
Stanford (StartX),logo Apostle L,,http://apostlebio.com,False,0.0,StartX
Stanford (StartX),pm,,https://appfluence.com/,False,0.0,StartX
Stanford (StartX),apptimize,,https://www.apptimize.com,False,0.0,StartX
Stanford (StartX),apstem,,https://www.apstemtx.com/,False,0.0,StartX
Stanford (StartX),cedar blue with moon,,https://arboreal.ai/,False,0.0,StartX
Stanford (StartX),archtype blue,,https://archsys.io,False,0.0,StartX
Stanford (StartX),Arialogo,,https://ariapharmaceuticals.com/,False,0.0,StartX
Stanford (StartX),ARIO,,http://www.arioliving.com/,False,0.0,StartX
Stanford (StartX),image,,https://aristotlehq.com/,False,0.0,StartX
Stanford (StartX),Arithmedics rect 600dpi,,http://www.arithmedics.ai,False,0.0,StartX
Stanford (StartX),ARLAN,,https://arlanbiotech.com/en,False,0.0,StartX
Stanford (StartX),aromyxlogo,,http://www.aromyx.com,False,0.0,StartX
Stanford (StartX),Arterys Black 01 500p,,https://www.arterys.com/,False,0.0,StartX
Stanford (StartX),arundo,,http://www.arundo.com,False,0.0,StartX
Stanford (StartX),AB WordMark Space Dust,,https://atombeamtech.com/,False,0.0,StartX
Stanford (StartX),Audacy Regular,,http://audacy.space,False,0.0,StartX
Stanford (StartX),Augmedix,,https://www.augmedix.com,False,0.0,StartX
Stanford (StartX),auricle 1,,,False,0.0,StartX
Stanford (StartX),aurie,,,False,0.0,StartX
Stanford (StartX),AutoTrainer,,,False,0.0,StartX
Stanford (StartX),AVAILS MEDICAL,,http://www.availsmedical.com/,False,0.0,StartX
Stanford (StartX),Avela Inc Transparent High Res,,,False,0.0,StartX
Stanford (StartX),Awair,,https://getawair.com/,False,0.0,StartX
Stanford (StartX),ACI black,,,False,0.0,StartX
Stanford (StartX),axiom eery,,http://www.axiomexergy.com,False,0.0,StartX
Stanford (StartX),250x70 wordmark,,https://www.axi.us,False,0.0,StartX
Stanford (StartX),ayasdi,,https://www.ayasdi.com/,False,0.0,StartX
Stanford (StartX),BabyNoggin,,http://www.babynoggin.com,False,0.0,StartX
Stanford (StartX),BQCentered RGB,,http://www.babyquip.com,False,0.0,StartX
Stanford (StartX),bach,,,False,0.0,StartX
Stanford (StartX),Color no background,,,False,0.0,StartX
Stanford (StartX),bluelogo onblack,,http://www.banyansecurity.io,False,0.0,StartX
Stanford (StartX),beacon 1,,https://beaconphotonics.com,False,0.0,StartX
Stanford (StartX),Screen Shot at 5.58,,http://www.beddrsleep.com,False,0.0,StartX
