startup_name,description,website,founding_date,location,funding_stage,funding_amount,investors,team_size,founders,linkedin,twitter,contact_email,source,is_ai_related,ai_confidence_score,scraped_date
Pando Bioscience,Gen-AI Designed Enzymes for Pharmaceutical Innovation,https://pando.bio/,,"Boston, MA, USA",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,True,0.2,
Metal,Metal is an AI-driven operating system for fundraising,http://www.metal.so,,"Los Angeles, CA, USA",Winter 2023,,Y Combinator,21.0,,,,,Y Combinator,True,0.4,
Vaero,AI for Human Writing,https://vaero.ai,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,1.0,,,,,Y Combinator,True,0.2,
Yuma AI,The AI Support Agent for Ecommerce,https://yuma.ai,,"Boston, MA, USA",Winter 2023,,Y Combinator,26.0,,,,,Y Combinator,True,0.2,
Pierre,"Pierre is a new, opinionated, git platform.",https://pierre.co,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,10.0,,,,,Y Combinator,False,0.0,
Automat,AI enabled RPA using ChatGPT and computer vision,https://www.runautomat.com/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,,,,,,Y Combinator,True,0.4,
SpecCheck,Unifying how the optical industry does business.,https://www.speccheckrx.com/,,"Los Angeles, CA, USA; Remote",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Speedy Labs,Maximize profits with AI-powered rebate management.,https://speedylabs.ai/,,Remote,Winter 2023,,Y Combinator,8.0,,,,,Y Combinator,True,0.4,
Finta,Magically simplify accounting and taxes,https://www.finta.com/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
LiteLLM,Call every LLM API like it's OpenAI [100+ LLMs],https://www.litellm.ai/,,,Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.35,
Theya,The world's simplest Bitcoin self-custody solution,https://www.theya.us/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Fetchr,The Personal Shopper  in Your Pocket,https://www.fetchr.so,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Warp,AI-native Employee Management Platform for High-Growth Companies,https://www.joinwarp.com/,,"New York, NY, USA",Winter 2023,,Y Combinator,30.0,,,,,Y Combinator,True,0.2,
Adri AI,Vanta for AI,https://www.getadri.ai/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Vendora,All-in-One Software for the $1T Grocery Industry,https://www.vendora.io/,,"New York, NY, USA",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Streamstraight,The best way to stream LLM thinking traces to your frontend,https://www.streamstraight.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,1.0,,,,,Y Combinator,True,0.35,
Type,The AI-first document editor.,https://type.ai,,"New York, NY, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
Social Radar,"Social Radar is the best way to search for posts, people, and…",https://socialradar.app,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
